country,date,name,type
DE,N/A,"[{'language': 'EN', 'text': 'Corpus Christi'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'High Festival of Peace'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
DE,N/A,"[{'language': 'EN', 'text': ""World Children's Day""}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Day of German Unity'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Reformation Day'}]",Public
DE,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Repentance Day'}]",Public
DE,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
DE,N/A,"[{'language': 'EN', 'text': '2nd Day of Christmas'}]",Public
HU,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'National Day'}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'Pentecost Monday'}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'State Foundation Day'}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'National Day'}]",Public
HU,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
HU,N/A,"[{'language': 'EN', 'text': 'Second Day of Christmas'}]",Public
IE,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
IE,N/A,"[{'language': 'EN', 'text': ""Saint Brigid's Day""}]",Public
IE,N/A,"[{'language': 'EN', 'text': ""Saint Patrick's Day""}]",Public
IE,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
IE,N/A,"[{'language': 'EN', 'text': 'May Day'}]",Public
IE,N/A,"[{'language': 'EN', 'text': 'June Holiday'}]",Public
IE,N/A,"[{'language': 'EN', 'text': 'August Holiday'}]",Public
IE,N/A,"[{'language': 'EN', 'text': 'October Holiday'}]",Public
IE,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
IE,N/A,"[{'language': 'EN', 'text': ""St. Stephen's Day""}]",Public
IT,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Epiphany'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Feast of St Mark'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Liberation Day'}]",Public
IT,N/A,"[{'language': 'EN', 'text': ""Sardinia's Day""}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Republic Day'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'St. John the Baptist'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Saints Peter and Paul'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Saint Rosalia'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'St. Januarius'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'St. Petronius'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'St. Saturninus'}]",Public
IT,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'St. Justus'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'St. Nicholas'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'St. Ambrose'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Immaculate Conception'}]",Public
IT,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
IT,N/A,"[{'language': 'EN', 'text': ""St. Stephen's Day""}]",Public
LV,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
